Order Date,Customer Name,Country,City,State,Region,Category,Sales,Quantity
08-11-2016,Claire Gute,United States,Henderson,Kentucky,South,Furniture,261.96,2
08-11-2016,Claire Gute,United States,Henderson,Kentucky,South,Furniture,261.96,2
08-11-2016,Claire Gute,United States,Henderson,Kentucky,South,Furniture,731.94,3
12-06-2016,Darrin Van Huff,United States,Los Angeles,California,West,Office Supplies,14.62,2
11-10-2015,Sean O'Donnell,United States,Fort Lauderdale,Florida,South,Furniture,957.5775,5
11-10-2015,Sean O'Donnell,United States,Fort Lauderdale,Florida,South,Office Supplies,22.368,2
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Furniture,48.86,7
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Office Supplies,7.28,4
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Technology,907.152,6
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Office Supplies,18.504,3
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Office Supplies,114.9,5
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Furniture,1706.184,9
09-06-2014,Brosina Hoffman,United States,Los Angeles,California,West,Technology,911.424,4
15-04-2017,Andrew Allen,United States,Concord,North Carolina,South,Office Supplies,15.552,3
05-12-2016,Irene Maddox,United States,Seattle,Washington,West,Office Supplies,407.976,3
22-11-2015,Harold Pawlan,United States,Fort Worth,Texas,Central,Office Supplies,68.81,5
22-11-2015,Harold Pawlan,United States,Fort Worth,Texas,Central,Office Supplies,2.544,3
11-11-2014,Pete Kriz,United States,Madison,Wisconsin,Central,Office Supplies,665.88,6
13-05-2014,Alejandro Grove,United States,West Jordan,Utah,West,Office Supplies,55.5,2
27-08-2014,Zuschuss Donatelli,United States,San Francisco,California,West,Office Supplies,8.56,2
27-08-2014,Zuschuss Donatelli,United States,San Francisco,California,West,Technology,213.48,3
27-08-2014,Zuschuss Donatelli,United States,San Francisco,California,West,Office Supplies,22.72,4
09-12-2016,Ken Black,United States,Fremont,Nebraska,Central,Office Supplies,19.46,7
09-12-2016,Ken Black,United States,Fremont,Nebraska,Central,Office Supplies,60.34,7
16-07-2017,Sandra Flanagan,United States,Philadelphia,Pennsylvania,East,Furniture,71.372,2
25-09-2015,Emily Burns,United States,Orem,Utah,West,Furniture,1044.63,3
16-01-2016,Eric Hoffmann,United States,Los Angeles,California,West,Office Supplies,11.648,2
16-01-2016,Eric Hoffmann,United States,Los Angeles,California,West,Technology,90.57,3
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Furniture,3083.43,7
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Office Supplies,9.618,2
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Furniture,124.2,3
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Office Supplies,3.264,2
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Office Supplies,86.304,6
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Office Supplies,6.858,6
17-09-2015,Tracy Blumstein,United States,Philadelphia,Pennsylvania,East,Office Supplies,15.76,2
19-10-2017,Matt Abelman,United States,Houston,Texas,Central,Office Supplies,29.472,3
08-12-2016,Gene Hale,United States,Richardson,Texas,Central,Technology,1097.544,7
08-12-2016,Gene Hale,United States,Richardson,Texas,Central,Furniture,190.92,5
27-12-2015,Steve Nguyen,United States,Houston,Texas,Central,Office Supplies,113.328,9
27-12-2015,Steve Nguyen,United States,Houston,Texas,Central,Furniture,532.3992,3
27-12-2015,Steve Nguyen,United States,Houston,Texas,Central,Furniture,212.058,3
27-12-2015,Steve Nguyen,United States,Houston,Texas,Central,Technology,371.168,4
10-09-2017,Linda Cazamias,United States,Naperville,Illinois,Central,Technology,147.168,4
17-07-2016,Ruben Ausman,United States,Los Angeles,California,West,Office Supplies,77.88,2
19-09-2017,Erin Smith,United States,Melbourne,Florida,South,Office Supplies,95.616,2
11-03-2016,Odella Nelson,United States,Eagan,Minnesota,Central,Technology,45.98,2
11-03-2016,Odella Nelson,United States,Eagan,Minnesota,Central,Office Supplies,17.46,2
20-10-2014,Patrick O'Donnell,United States,Westland,Michigan,Central,Office Supplies,211.96,4
20-06-2016,Lena Hernandez,United States,Dover,Delaware,East,Technology,45,3
20-06-2016,Lena Hernandez,United States,Dover,Delaware,East,Technology,21.8,2
18-04-2015,Darren Powers,United States,New Albany,Indiana,Central,Office Supplies,38.22,6
18-04-2015,Darren Powers,United States,New Albany,Indiana,Central,Office Supplies,75.18,6
18-04-2015,Darren Powers,United States,New Albany,Indiana,Central,Furniture,6.16,2
18-04-2015,Darren Powers,United States,New Albany,Indiana,Central,Furniture,89.99,1
11-12-2016,Janet Molinari,United States,New York City,New York,East,Office Supplies,15.26,7
11-12-2016,Janet Molinari,United States,New York City,New York,East,Technology,1029.95,5
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Office Supplies,208.56,6
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Office Supplies,32.4,5
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Furniture,319.41,5
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Office Supplies,14.56,2
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Technology,30,2
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Office Supplies,48.48,4
17-06-2016,Ted Butterfield,United States,Troy,New York,East,Office Supplies,1.68,1
24-11-2015,Kunst Miller,United States,Los Angeles,California,West,Technology,13.98,2
24-11-2015,Kunst Miller,United States,Los Angeles,California,West,Office Supplies,25.824,6
24-11-2015,Kunst Miller,United States,Los Angeles,California,West,Office Supplies,146.73,3
24-11-2015,Kunst Miller,United States,Los Angeles,California,West,Furniture,79.76,4
30-04-2015,Paul Stevenson,United States,Chicago,Illinois,Central,Furniture,213.115,5
05-12-2014,Brendan Sweed,United States,Gilbert,Arizona,West,Office Supplies,1113.024,8
05-12-2014,Brendan Sweed,United States,Gilbert,Arizona,West,Technology,167.968,4
04-06-2016,Karen Daniels,United States,Springfield,Virginia,South,Office Supplies,75.88,2
18-09-2016,Henry MacAllister,United States,New York City,New York,East,Office Supplies,4.616,1
14-09-2017,Tracy Blumstein,United States,Jackson,Michigan,Central,Office Supplies,19.05,3
26-04-2015,Joel Eaton,United States,Memphis,Tennessee,South,Furniture,831.936,8
26-04-2015,Joel Eaton,United States,Memphis,Tennessee,South,Furniture,97.04,2
26-04-2015,Joel Eaton,United States,Memphis,Tennessee,South,Office Supplies,72.784,1
09-12-2017,Ken Brennan,United States,Houston,Texas,Central,Office Supplies,1.248,3
09-12-2017,Ken Brennan,United States,Houston,Texas,Central,Furniture,9.708,3
09-12-2017,Ken Brennan,United States,Houston,Texas,Central,Office Supplies,27.24,3
26-11-2014,Joel Eaton,United States,Houston,Texas,Central,Furniture,19.3,5
12-06-2016,Stewart Carmichael,United States,Decatur,Alabama,South,Office Supplies,208.16,1
12-06-2016,Stewart Carmichael,United States,Decatur,Alabama,South,Office Supplies,16.74,3
12-10-2014,Duane Noonan,United States,San Francisco,California,West,Office Supplies,14.9,5
12-10-2014,Duane Noonan,United States,San Francisco,California,West,Office Supplies,21.39,1
03-09-2015,Julie Creighton,United States,Durham,North Carolina,South,Office Supplies,200.984,7
13-11-2017,Christopher Schild,United States,Chicago,Illinois,Central,Office Supplies,230.376,3
28-05-2017,Patrick O'Donnell,United States,Columbia,South Carolina,South,Furniture,301.96,2
26-10-2017,Paul Gonzalez,United States,Rochester,Minnesota,Central,Technology,19.99,1
26-10-2017,Paul Gonzalez,United States,Rochester,Minnesota,Central,Office Supplies,6.16,2
05-04-2016,Gary Mitchum,United States,Houston,Texas,Central,Office Supplies,158.368,7
17-09-2016,Jim Sink,United States,Los Angeles,California,West,Office Supplies,20.1,3
17-09-2016,Jim Sink,United States,Los Angeles,California,West,Technology,73.584,2
17-09-2016,Jim Sink,United States,Los Angeles,California,West,Office Supplies,6.48,1
31-01-2015,Karl Braun,United States,Minneapolis,Minnesota,Central,Office Supplies,12.96,2
31-01-2015,Karl Braun,United States,Minneapolis,Minnesota,Central,Furniture,53.34,3
31-01-2015,Karl Braun,United States,Minneapolis,Minnesota,Central,Office Supplies,32.96,2
06-11-2017,Roger Barcio,United States,Portland,Oregon,West,Office Supplies,5.682,1
09-11-2017,Parhena Norris,United States,New York City,New York,East,Furniture,96.53,7
17-06-2017,Katherine Ducich,United States,San Francisco,California,West,Office Supplies,51.312,3
06-09-2016,Elpida Rittenbach,United States,Saint Paul,Minnesota,Central,Office Supplies,77.88,6
29-08-2016,Rick Bensley,United States,Chicago,Illinois,Central,Office Supplies,64.624,7
29-08-2016,Rick Bensley,United States,Chicago,Illinois,Central,Technology,95.976,3
29-08-2016,Rick Bensley,United States,Chicago,Illinois,Central,Office Supplies,1.788,3
01-12-2016,Gary Zandusky,United States,Rochester,Minnesota,Central,Office Supplies,23.92,4
13-11-2015,Lena Cacioppo,United States,Aurora,Colorado,West,Technology,238.896,6
13-11-2015,Lena Cacioppo,United States,Aurora,Colorado,West,Furniture,102.36,3
13-11-2015,Lena Cacioppo,United States,Aurora,Colorado,West,Office Supplies,36.882,3
23-11-2017,Janet Martin,United States,Charlotte,North Carolina,South,Technology,74.112,8
23-11-2017,Janet Martin,United States,Charlotte,North Carolina,South,Technology,27.992,1
23-11-2017,Janet Martin,United States,Charlotte,North Carolina,South,Office Supplies,3.304,1
15-10-2015,Pete Armstrong,United States,Orland Park,Illinois,Central,Technology,339.96,5
25-12-2017,Cynthia Voltz,United States,New York City,New York,East,Furniture,41.96,2
03-11-2016,Clay Ludtke,United States,Urbandale,Iowa,Central,Office Supplies,75.96,2
03-11-2016,Clay Ludtke,United States,Urbandale,Iowa,Central,Office Supplies,27.24,6
25-08-2014,Ryan Crowe,United States,Columbus,Ohio,East,Office Supplies,40.096,14
25-08-2014,Ryan Crowe,United States,Columbus,Ohio,East,Office Supplies,4.72,2
25-08-2014,Ryan Crowe,United States,Columbus,Ohio,East,Office Supplies,23.976,3
25-08-2014,Ryan Crowe,United States,Columbus,Ohio,East,Office Supplies,130.464,6
02-03-2015,Dave Kipp,United States,Seattle,Washington,West,Furniture,787.53,3
05-04-2015,Greg Guthrie,United States,Bristol,Tennessee,South,Office Supplies,157.794,1
12-06-2016,Steven Cartwright,United States,Wilmington,Delaware,East,Furniture,47.04,3
12-06-2016,Steven Cartwright,United States,Wilmington,Delaware,East,Office Supplies,30.84,4
12-06-2016,Steven Cartwright,United States,Wilmington,Delaware,East,Office Supplies,226.56,6
12-06-2016,Steven Cartwright,United States,Wilmington,Delaware,East,Office Supplies,115.02,9
12-06-2016,Steven Cartwright,United States,Wilmington,Delaware,East,Technology,68.04,7
26-12-2014,Alan Dominguez,United States,Houston,Texas,Central,Furniture,600.558,3
20-09-2014,Philip Fox,United States,Bloomington,Illinois,Central,Furniture,617.7,6
05-11-2017,Troy Staebel,United States,Phoenix,Arizona,West,Office Supplies,2.388,2
05-11-2017,Troy Staebel,United States,Phoenix,Arizona,West,Office Supplies,243.992,7
06-11-2016,Lindsay Shagiari,United States,Los Angeles,California,West,Furniture,81.424,2
06-11-2016,Lindsay Shagiari,United States,Los Angeles,California,West,Furniture,238.56,3
02-02-2017,Dorothy Wardle,United States,Columbus,Ohio,East,Technology,59.97,5
